carrier_1,region_2,parameter,timestep_2,value
electricity,DE11,dem,d001,1.205384128
electricity,DE11,dem,d002,1.536073211
electricity,DE11,dem,d003,1.596026169
electricity,DE11,dem,d004,1.594732727
electricity,DE11,dem,d005,1.472556309
electricity,DE11,dem,d006,1.375889809
electricity,DE11,dem,d007,1.805776444
electricity,DE11,dem,d008,1.857365234
electricity,DE11,dem,d009,1.873938039
electricity,DE11,dem,d010,1.842166959
electricity,DE11,dem,d011,1.848563714
electricity,DE11,dem,d012,1.589414063
electricity,DE11,dem,d013,1.478287068
electricity,DE11,dem,d014,1.907511696
electricity,DE11,dem,d015,1.962165928
electricity,DE11,dem,d016,1.967657407
electricity,DE11,dem,d017,1.956082896
electricity,DE11,dem,d018,1.93089202
electricity,DE11,dem,d019,1.648346092
electricity,DE11,dem,d020,1.545756079
electricity,DE11,dem,d021,1.90520663
electricity,DE11,dem,d022,1.973144897
electricity,DE11,dem,d023,1.998774454
electricity,DE11,dem,d024,2.00808245
electricity,DE11,dem,d025,1.984795179
electricity,DE11,dem,d026,1.665479876
electricity,DE11,dem,d027,1.5176965
electricity,DE11,dem,d028,1.870172036
electricity,DE11,dem,d029,1.878573426
electricity,DE11,dem,d030,1.834089927
electricity,DE11,dem,d031,1.803096507
electricity,DE11,dem,d032,1.830116548
electricity,DE11,dem,d033,1.583140936
electricity,DE11,dem,d034,1.477323301
electricity,DE11,dem,d035,1.826003589
electricity,DE11,dem,d036,1.857076768
electricity,DE11,dem,d037,1.928023317
electricity,DE11,dem,d038,1.936854082
electricity,DE11,dem,d039,1.906212936
electricity,DE11,dem,d040,1.637057389
electricity,DE11,dem,d041,1.501727212
electricity,DE11,dem,d042,1.825615423
electricity,DE11,dem,d043,1.911045065
electricity,DE11,dem,d044,1.966499557
electricity,DE11,dem,d045,1.971249267
electricity,DE11,dem,d046,1.928909983
electricity,DE11,dem,d047,1.622109029
electricity,DE11,dem,d048,1.498114083
electricity,DE11,dem,d049,1.866343555
electricity,DE11,dem,d050,1.86078561
electricity,DE11,dem,d051,1.879160992
electricity,DE11,dem,d052,1.931819895
electricity,DE11,dem,d053,1.88519218
electricity,DE11,dem,d054,1.623637763
electricity,DE11,dem,d055,1.499140328
electricity,DE11,dem,d056,1.879678103
electricity,DE11,dem,d057,1.928140299
electricity,DE11,dem,d058,1.94374402
