region_1,region_2,carrier_1,parameter,timestep_2,value
AT,AT,electricity,dem,d001,3.745789605
BE,BE,electricity,dem,d001,4.163967061
BG,BG,electricity,dem,d001,3.726827847
CH,CH,electricity,dem,d001,8.591020441
CZ,CZ,electricity,dem,d001,4.081977738
DK,DK,electricity,dem,d001,3.954171922
ES,ES,electricity,dem,d001,21.20845374
FI,FI,electricity,dem,d001,2.254981197
FR,FR,electricity,dem,d001,52.5441866
GR,GR,electricity,dem,d001,5.602774367
HR,HR,electricity,dem,d001,1.908399339
HU,HU,electricity,dem,d001,2.774431435
IE,IE,electricity,dem,d001,2.392327003
IT,IT,electricity,dem,d001,10.54554441
LU,LU,electricity,dem,d001,0.464550556
NL,NL,electricity,dem,d001,6.563756128
NO,NO,electricity,dem,d001,11.99613044
PL,PL,electricity,dem,d001,12.72711487
PT,PT,electricity,dem,d001,3.999970272
RO,RO,electricity,dem,d001,5.105780646
SE,SE,electricity,dem,d001,12.16026853
SI,SI,electricity,dem,d001,0.690860669
SK,SK,electricity,dem,d001,1.73187001
UK,UK,electricity,dem,d001,28.98341954
EE,EE,electricity,dem,d001,0.695647046
LT,LT,electricity,dem,d001,0.428310953
LV,LV,electricity,dem,d001,0.535937778
NONEU_Balkan,NONEU_Balkan,electricity,dem,d001,5.681677627
TR,TR,electricity,dem,d001,22.92842649
AT,AT,electricity,dem,d002,4.486683335
BE,BE,electricity,dem,d002,4.987750986
BG,BG,electricity,dem,d002,4.278648743
CH,CH,electricity,dem,d002,9.072544635
CZ,CZ,electricity,dem,d002,5.09948948
DK,DK,electricity,dem,d002,4.759426538
ES,ES,electricity,dem,d002,26.9185195
FI,FI,electricity,dem,d002,2.440404613
FR,FR,electricity,dem,d002,62.35334937
GR,GR,electricity,dem,d002,6.267410314
HR,HR,electricity,dem,d002,2.205540751
HU,HU,electricity,dem,d002,3.313227237
IE,IE,electricity,dem,d002,2.719334676
IT,IT,electricity,dem,d002,12.94027125
LU,LU,electricity,dem,d002,0.648627928
NL,NL,electricity,dem,d002,7.88160737
NO,NO,electricity,dem,d002,13.33654997
PL,PL,electricity,dem,d002,16.34703064
PT,PT,electricity,dem,d002,5.075227949
RO,RO,electricity,dem,d002,5.272612671
SE,SE,electricity,dem,d002,13.81337308
SI,SI,electricity,dem,d002,0.856984236
SK,SK,electricity,dem,d002,1.982726685
UK,UK,electricity,dem,d002,34.70566427
EE,EE,electricity,dem,d002,0.804971763
LT,LT,electricity,dem,d002,0.515853291
LV,LV,electricity,dem,d002,0.693498096
NONEU_Balkan,NONEU_Balkan,electricity,dem,d002,5.91610356
TR,TR,electricity,dem,d002,25.64833907
AT,AT,electricity,dem,d003,4.634303568
BE,BE,electricity,dem,d003,5.350121398
BG,BG,electricity,dem,d003,4.363817587
CH,CH,electricity,dem,d003,10.17263433
CZ,CZ,electricity,dem,d003,5.406435574
DK,DK,electricity,dem,d003,5.188470623
ES,ES,electricity,dem,d003,28.24688829
FI,FI,electricity,dem,d003,2.456802977
FR,FR,electricity,dem,d003,64.19579034
GR,GR,electricity,dem,d003,6.762182266
HR,HR,electricity,dem,d003,2.169276319
HU,HU,electricity,dem,d003,3.452879929
IE,IE,electricity,dem,d003,2.790357972
IT,IT,electricity,dem,d003,13.33120321
LU,LU,electricity,dem,d003,0.767797588
NL,NL,electricity,dem,d003,8.108350075
NO,NO,electricity,dem,d003,13.223335
PL,PL,electricity,dem,d003,17.34500617
PT,PT,electricity,dem,d003,5.363291124
RO,RO,electricity,dem,d003,5.795036116
SE,SE,electricity,dem,d003,14.17458331
SI,SI,electricity,dem,d003,0.905094027
SK,SK,electricity,dem,d003,2.045491862
UK,UK,electricity,dem,d003,35.02385512
EE,EE,electricity,dem,d003,0.843864273
LT,LT,electricity,dem,d003,0.534621788
LV,LV,electricity,dem,d003,0.738873998
NONEU_Balkan,NONEU_Balkan,electricity,dem,d003,6.052984065
TR,TR,electricity,dem,d003,27.67311137
AT,AT,electricity,dem,d004,4.510363419
BE,BE,electricity,dem,d004,5.368958621
BG,BG,electricity,dem,d004,4.321035766
CH,CH,electricity,dem,d004,10.05507271
CZ,CZ,electricity,dem,d004,5.262609894
DK,DK,electricity,dem,d004,4.8921433
ES,ES,electricity,dem,d004,28.34664956
FI,FI,electricity,dem,d004,2.501598282
FR,FR,electricity,dem,d004,62.85881981
GR,GR,electricity,dem,d004,6.624223818
HR,HR,electricity,dem,d004,2.166701588
HU,HU,electricity,dem,d004,3.425878981
IE,IE,electricity,dem,d004,2.77797104
IT,IT,electricity,dem,d004,13.46706916
LU,LU,electricity,dem,d004,0.828887199
NL,NL,electricity,dem,d004,8.070704786
NO,NO,electricity,dem,d004,12.89953774
PL,PL,electricity,dem,d004,17.37221793
PT,PT,electricity,dem,d004,5.359629925
RO,RO,electricity,dem,d004,5.957613004
SE,SE,electricity,dem,d004,13.87351135
SI,SI,electricity,dem,d004,0.920563332
SK,SK,electricity,dem,d004,2.02141615
UK,UK,electricity,dem,d004,34.69173364
EE,EE,electricity,dem,d004,0.843316037
LT,LT,electricity,dem,d004,0.529443135
LV,LV,electricity,dem,d004,0.734740566
NONEU_Balkan,NONEU_Balkan,electricity,dem,d004,5.98749436
TR,TR,electricity,dem,d004,27.10853925
AT,AT,electricity,dem,d005,4.09417971
BE,BE,electricity,dem,d005,4.921809766
BG,BG,electricity,dem,d005,4.095713386
CH,CH,electricity,dem,d005,9.282310107
CZ,CZ,electricity,dem,d005,4.671922763
DK,DK,electricity,dem,d005,3.999082787
ES,ES,electricity,dem,d005,25.5090749
FI,FI,electricity,dem,d005,2.443621956
FR,FR,electricity,dem,d005,57.9346397
GR,GR,electricity,dem,d005,6.673639656
HR,HR,electricity,dem,d005,2.025702337
HU,HU,electricity,dem,d005,3.176204309
IE,IE,electricity,dem,d005,2.599056834
IT,IT,electricity,dem,d005,12.18413851
LU,LU,electricity,dem,d005,0.771301257
NL,NL,electricity,dem,d005,7.254072985
NO,NO,electricity,dem,d005,12.3341104
