region_1,region_2,region_1,region_2,carrier_1,parameter,value
AT,AT,CH,CH,electricity,capaExcResiDir,1.2
AT,AT,CZ,CZ,electricity,capaExcResiDir,0.9
AT,,DE,,electricity,capaExcResiDir,9
AT,AT,HU,HU,electricity,capaExcResiDir,0.8
AT,AT,IT,IT,electricity,capaExcResiDir,0.705
AT,AT,SI,SI,electricity,capaExcResiDir,1.04
AT,AT,SK,SK,electricity,capaExcResiDir,0
BE,,DE,,electricity,capaExcResiDir,2
BE,BE,FR,FR,electricity,capaExcResiDir,3.3
BE,BE,LU,LU,electricity,capaExcResiDir,0.68
BE,BE,NL,NL,electricity,capaExcResiDir,3.9
BE,BE,NO,NO,electricity,capaExcResiDir,0
BE,BE,UK,UK,electricity,capaExcResiDir,1
BG,BG,GR,GR,electricity,capaExcResiDir,1.4
BG,BG,NONEU_Balkan,NONEU_Balkan,electricity,capaExcResiDir,1.744
BG,BG,RO,RO,electricity,capaExcResiDir,0.3
BG,BG,TR,TR,electricity,capaExcResiDir,0.7
CH,,DE,,electricity,capaExcResiDir,5.4
CH,CH,FR,FR,electricity,capaExcResiDir,1.3
CH,CH,IT,IT,electricity,capaExcResiDir,4.24
CZ,,DE,,electricity,capaExcResiDir,2.6
CZ,CZ,PL,PL,electricity,capaExcResiDir,0.6
CZ,CZ,SK,SK,electricity,capaExcResiDir,1.8
DE,,DK,,electricity,capaExcResiDir,4.5
DE,,FR,,electricity,capaExcResiDir,2.3
DE,,LU,,electricity,capaExcResiDir,2.3
DE,,NL,,electricity,capaExcResiDir,4.25
DE,,NO,,electricity,capaExcResiDir,1.4
DE,,PL,,electricity,capaExcResiDir,2.5
DE,,SE,,electricity,capaExcResiDir,0.615
DE,,UK,,electricity,capaExcResiDir,0
DK,DK,NL,NL,electricity,capaExcResiDir,0.7
DK,DK,NO,NO,electricity,capaExcResiDir,1.64
DK,DK,PL,PL,electricity,capaExcResiDir,0
DK,DK,SE,SE,electricity,capaExcResiDir,2.44
DK,DK,UK,UK,electricity,capaExcResiDir,0
ES,ES,FR,FR,electricity,capaExcResiDir,4.8
ES,ES,IT,IT,electricity,capaExcResiDir,0
ES,ES,UK,UK,electricity,capaExcResiDir,0
ES,ES,PT,PT,electricity,capaExcResiDir,6.1
FI,FI,NO,NO,electricity,capaExcResiDir,0
FI,FI,SE,SE,electricity,capaExcResiDir,3.2
FR,FR,IT,IT,electricity,capaExcResiDir,6.8
FR,FR,LU,LU,electricity,capaExcResiDir,0.38
FR,FR,UK,UK,electricity,capaExcResiDir,2
GR,GR,IT,IT,electricity,capaExcResiDir,0.5
GR,GR,NONEU_Balkan,NONEU_Balkan,electricity,capaExcResiDir,1.35
GR,GR,TR,TR,electricity,capaExcResiDir,0.66
HR,HR,HU,HU,electricity,capaExcResiDir,2
HR,HR,IT,IT,electricity,capaExcResiDir,0
HR,HR,NONEU_Balkan,NONEU_Balkan,electricity,capaExcResiDir,1.3
HR,HR,SI,SI,electricity,capaExcResiDir,1.64
HU,HU,NONEU_Balkan,NONEU_Balkan,electricity,capaExcResiDir,0.6
HU,HU,RO,RO,electricity,capaExcResiDir,1.617
HU,HU,SI,SI,electricity,capaExcResiDir,2.4
HU,HU,SK,SK,electricity,capaExcResiDir,2.8
IE,IE,UK,UK,electricity,capaExcResiDir,1.75
IT,IT,NONEU_Balkan,NONEU_Balkan,electricity,capaExcResiDir,0.8
IT,IT,SI,SI,electricity,capaExcResiDir,0.68
LT,LT,LV,LV,electricity,capaExcResiDir,1.2
LT,LT,PL,PL,electricity,capaExcResiDir,1
LT,LT,SE,SE,electricity,capaExcResiDir,0.7
LV,LV,SE,SE,electricity,capaExcResiDir,0
