technology_1,technology_2,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type,region_expansion
battery,,,,electricity,electricity,mature,1
pumpedHydro,,,,electricity,electricity,stock,2
caes,,,,electricity,electricity,mature,1
biomassPlant,,biomass,electricity,,,mature,1
ror,,,electricity,,,stock,2
rooftop,rooftop_a,,electricity,,,mature,2
rooftop,rooftop_b,,electricity,,,mature,2
rooftop,rooftop_c,,electricity,,,mature,2
openspace,openspace_a,,electricity,,,mature,2
openspace,openspace_b,,electricity,,,mature,2
wind_offshore,offshore_a,,electricity,,,mature,2
wind_offshore,offshore_b,,electricity,,,mature,2
wind_offshore,offshore_c,,electricity,,,mature,2
wind_onshore,onshore_a,,electricity,,,mature,2
wind_onshore,onshore_b,,electricity,,,mature,2
electrolysis,,electricity,hydrogen,,,mature,2
ocgtHydrogen,,hydrogen,electricity,,,mature,2
electricMobility,,electricity,mobility,,,stock,1
electricResidentalHeating,,electricity,heatResidental,,,stock,1
electricIndustryHeating,,electricity,heatIndustry,,,stock,1
methanation,,hydrogen,synthGas,,,mature,2
fermenter,,biomass,synthGas,,,mature,2
gasPlant,,synthGas,electricity,,,mature,1
gasStorage,,,,gas,gas,stock,1
